Cited_app_nbr,App_nbr_x,count,Longitude,Latitude,App_nbr_y,end_Longitude,end_Latitude,count_sum,cited_Longitude,cited_Latitude,log,size
EP20100172600,EP20130151238,3,-0.135641,51.498091,EP20100172600,-0.135641,51.498091,,,,,
EP20100173514,EP20140151153,2,-0.135641,51.498091,EP20100173514,-0.135641,51.498091,,,,,
EP20100173514,EP20120189778,3,-0.135641,51.498091,EP20100173514,-0.135641,51.498091,,,,,
EP20100173514,EP20130151238,3,-0.135641,51.498091,EP20100173514,-0.135641,51.498091,,,,,
EP20100173514,EP20120189899,2,-0.135641,51.498091,EP20100173514,-0.135641,51.498091,,,,,
EP20100173514,EP20130151240,4,-0.135641,51.498091,EP20100173514,-0.135641,51.498091,,,,,
EP20100173514,EP20140191261,7,-0.135641,51.498091,EP20100173514,-0.135641,51.498091,,,,,
EP20120152503,EP20120189778,3,-0.135641,51.498091,EP20120152503,-0.135641,51.498091,,,,,
EP20130151238,EP20140191261,7,-0.135641,51.498091,EP20130151238,-0.135641,51.498091,,,,,
EP20130151238,EP20140190217,5,-0.135641,51.498091,EP20130151238,-0.135641,51.498091,,,,,
